site15 CFKADS2218   75  19.7880  19.8300  2025   19  19   433.46     0.31  0.0242   2048.6     1.77   0.120   130.3    6.2   0.958    1604  1  0.040
site15 CFKADS2218   75  19.8300  19.8720  2025   19  20   433.70     0.31  0.0242   2052.6     2.41   0.120   136.0    8.9   0.958    2010  1  0.030
site15 CFKADS2218   75  19.8720  19.9130  2025   19  21   434.97     0.19  0.0242   2060.8     1.74   0.120   135.7    5.7   0.958    2010  1  0.030
site15 CFKADS2218   75  19.9130  19.9550  2025   19  22   435.17     0.12  0.0242   2060.1     1.34   0.120   138.8    7.9   0.958    2011  1  0.030
site15 CFKADS2218   75  19.9550  19.9970  2025   19  23   435.17     0.12  0.0242   2058.2     1.21   0.120   137.0    5.4   0.958    2011  1  0.030
site15 CFKADS2218   75  19.9970  20.0380  2025   20   0   435.20     0.06  0.0243   2055.7     1.56   0.122   136.7    5.1   0.963    2012  1  0.030
site15 CFKADS2218   75  20.0380  20.0800  2025   20   1   434.89     0.37  0.0243   2054.7     0.61   0.122   134.8    5.4   0.963    2011  1  0.030
site15 CFKADS2218   75  20.0800  20.1220  2025   20   2   434.09     0.11  0.0243   2053.8     1.26   0.122   131.3    5.2   0.963    2011  1  0.030
site15 CFKADS2218   75  20.1220  20.1630  2025   20   3   434.09     0.06  0.0243   2054.5     0.82   0.122   131.0    5.1   0.963    2009  1  0.030
site15 CFKADS2218   75  20.1630  20.2050  2025   20   4   434.16     0.06  0.0243   2052.4     0.30   0.122   130.8    5.2   0.963    2011  1  0.030
site15 CFKADS2218   75  20.2050  20.2470  2025   20   5   433.94     0.19  0.0243   2049.5     1.63   0.122   128.7    5.2   0.963    2009  1  0.030
site15 CFKADS2218   75  20.2470  20.2880  2025   20   6   433.99     0.12  0.0243   2048.8     0.95   0.122   129.6    5.9   0.963    2010  1  0.030
site15 CFKADS2218   75  20.2880  20.3300  2025   20   7   434.42     0.15  0.0243   2050.2     0.40   0.122   129.3    5.2   0.963    2010  1  0.030
site15 CFKADS2218   75  20.3300  20.3720  2025   20   8   434.36     0.18  0.0243   2049.4     0.78   0.122   128.4    5.4   0.963    2009  1  0.030
site15 CFKADS2218   75  20.3720  20.4130  2025   20   9   434.20     0.11  0.0243   2049.7     0.76   0.122   128.1    5.1   0.963    2008  1  0.030
site15 CFKADS2218   75  20.4130  20.4550  2025   20  10   434.38     0.08  0.0243   2053.5     1.73   0.122   129.7    5.2   0.963    2008  1  0.030
site15 CFKADS2218   75  20.4550  20.4970  2025   20  11   434.80     0.27  0.0243   2052.0     0.98   0.122   130.2    5.1   0.963    2009  1  0.030
site15 CFKADS2218   75  20.4970  20.5380  2025   20  12   435.59     0.16  0.0243   2051.2     0.73   0.122   130.3    5.2   0.963    2009  1  0.030
site15 CFKADS2218   75  20.5380  20.5800  2025   20  13   435.79     0.21  0.0243   2054.1     0.63   0.122   133.0    5.0   0.963    2008  1  0.030
site15 CFKADS2218   75  20.5800  20.6220  2025   20  14   435.54     0.21  0.0243   2053.5     0.41   0.122   132.8    5.2   0.963    2009  1  0.030
site15 CFKADS2218   75  20.6220  20.6630  2025   20  15   435.72     0.27  0.0243   2050.9     1.09   0.122   129.6    5.1   0.963    2008  1  0.030
site15 CFKADS2218   75  20.6630  20.7050  2025   20  16   435.27     0.31  0.0243   2049.3     0.55   0.122   128.2    5.2   0.963    2007  1  0.030
site15 CFKADS2218   75  20.7050  20.7470  2025   20  17   434.85     0.17  0.0243   2049.1     0.41   0.122   126.8    5.2   0.963    2008  1  0.030
site15 CFKADS2218   75  20.7470  20.7880  2025   20  18   433.87     0.30  0.0243   2047.2     0.99   0.122   125.4    5.2   0.963    1604  1  0.030
site15 CFKADS2218   75  20.7880  20.8300  2025   20  19   433.88     0.21  0.0243   2046.0     0.38   0.122   125.8    5.1   0.963    2008  1  0.030
site15 CFKADS2218   75  20.8300  20.8720  2025   20  20   433.94     0.28  0.0243   2044.9     1.04   0.122   126.7    6.3   0.963    2009  1  0.030
site15 CFKADS2218   75  20.8720  20.9130  2025   20  21   434.25     0.10  0.0243   2046.3     0.50   0.122   128.2    5.0   0.963    2008  1  0.030
site15 CFKADS2218   75  20.9130  20.9550  2025   20  22   434.36     0.14  0.0243   2055.1     4.55   0.122   129.2    5.5   0.963    2009  1  0.030
site15 CFKADS2218   75  20.9550  20.9970  2025   20  23   434.39     0.19  0.0243   2060.7     1.00   0.122   131.4    5.2   0.963    2007  1  0.030
site15 CFKADS2218   75  20.9970  21.0380  2025   21   0   434.70     0.18  0.0236   2056.6     1.65   0.120   131.4    6.0   0.918    2008  1  0.030
site15 CFKADS2218   75  21.0380  21.0800  2025   21   1   435.80     0.62  0.0236   2053.1     1.78   0.120   140.4   10.7   0.918    2008  1  0.030
site15 CFKADS2218   75  21.0800  21.1220  2025   21   2   436.87     0.37  0.0236   2054.2     2.45   0.120   139.4    5.4   0.918    2007  1  0.030
site15 CFKADS2218   75  21.1220  21.1630  2025   21   3   435.97     0.45  0.0236   2065.6     1.78   0.120   140.3    5.1   0.918    2008  1  0.030
site15 CFKADS2218   75  21.1630  21.2050  2025   21   4   435.65     0.30  0.0236   2071.6     6.49   0.120   138.2    5.1   0.918    2008  1  0.030
site15 CFKADS2218   75  21.2050  21.2470  2025   21   5   435.62     0.28  0.0236   2067.3     2.40   0.120   138.2    5.1   0.918    2007  1  0.030
site15 CFKADS2218   75  21.2470  21.2880  2025   21   6   435.78     0.28  0.0236   2069.4     1.39   0.120   138.1    5.1   0.918    2008  1  0.030
site15 CFKADS2218   75  21.2880  21.3300  2025   21   7   436.22     0.33  0.0236   2066.3     1.70   0.120   141.3    5.2   0.918    2007  1  0.030
site15 CFKADS2218   75  21.3300  21.3720  2025   21   8   436.77     0.14  0.0236   2070.6     4.95   0.120   143.1    5.3   0.918    2009  1  0.030
site15 CFKADS2218   75  21.3720  21.4130  2025   21   9   436.20     1.10  0.0236   2082.5    13.11   0.120   138.7    8.9   0.918    2007  1  0.030
site15 CFKADS2218   75  21.4130  21.4550  2025   21  10   434.45     0.13  0.0236   2065.2     1.69   0.120   127.3    5.0   0.918    2007  1  0.030
site15 CFKADS2218   75  21.4550  21.4970  2025   21  11   434.02     0.48  0.0236   2061.7     5.87   0.120   125.8    5.2   0.918    2008  1  0.030
site15 CFKADS2218   75  21.4970  21.5380  2025   21  12   434.12     0.41  0.0236   2058.1     2.01   0.120   127.2    5.6   0.918    2008  1  0.030
site15 CFKADS2218   75  21.5380  21.5800  2025   21  13   436.17     0.65  0.0236   2058.7     1.98   0.120   127.8    5.2   0.918    2006  1  0.030
site15 CFKADS2218   75  21.5800  21.6220  2025   21  14   434.74     0.33  0.0236   2055.2     1.54   0.120   127.9    5.2   0.918    2007  1  0.030
site15 CFKADS2218   75  21.6220  21.6630  2025   21  15   434.55     0.14  0.0236   2055.0     0.74   0.120   126.8    5.1   0.918    2007  1  0.030
site15 CFKADS2218   75  21.6630  21.7050  2025   21  16   434.36     0.47  0.0236   2055.3     4.47   0.120   126.7    5.3   0.918    2007  1  0.030
site15 CFKADS2218   75  21.7050  21.7470  2025   21  17   434.65     0.36  0.0236   2059.5     3.30   0.120   127.9    5.5   0.918    1604  1  0.030
site15 CFKADS2218   75  21.7470  21.7880  2025   21  18   434.63     0.18  0.0236   2059.7     1.12   0.120   128.5    5.0   0.918    2010  1  0.030
site15 CFKADS2218   75  21.7880  21.8300  2025   21  19   435.10     0.27  0.0236   2061.1     1.08   0.120   129.3    5.0   0.918    2009  1  0.030
site15 CFKADS2218   75  21.8300  21.8720  2025   21  20   435.30     0.32  0.0236   2057.5     1.48   0.120   128.1    5.2   0.918    2009  1  0.030
site15 CFKADS2218   75  21.8720  21.9130  2025   21  21   434.98     0.48  0.0236   2056.2     1.16   0.120   128.0    5.2   0.918    2010  1  0.030
site15 CFKADS2218   75  21.9130  21.9550  2025   21  22   434.58     0.11  0.0236   2054.7     0.43   0.120   127.6    5.2   0.918    2010  1  0.030
site15 CFKADS2218   75  21.9550  21.9970  2025   21  23   434.53     0.15  0.0236   2054.8     0.85   0.120   128.0    5.1   0.918    2009  1  0.030
site15 CFKADS2218   75  21.9970  22.0380  2025   22   0   435.06     0.14  0.0261   2056.7     0.36   0.133   128.8    5.1   1.012    2010  1  0.030
site15 CFKADS2218   75  22.0380  22.0800  2025   22   1   435.17     0.11  0.0261   2057.7     0.39   0.133   129.6    5.1   1.012    2009  1  0.030
site15 CFKADS2218   75  22.0800  22.1220  2025   22   2   435.58     0.13  0.0261   2059.8     0.50   0.133   131.7    5.5   1.012    2011  1  0.030
site15 CFKADS2218   75  22.1220  22.1630  2025   22   3   438.87     2.63  0.0261   2064.2     3.02   0.133   146.5   13.6   1.012    2009  1  0.030
site15 CFKADS2218   75  22.1630  22.2050  2025   22   4   436.53     1.20  0.0261   2062.7     3.93   0.133   135.4    9.4   1.012    2009  1  0.030
site15 CFKADS2218   75  22.2050  22.2470  2025   22   5   437.91     0.98  0.0261   2067.1     2.08   0.133   155.0    9.5   1.012    2009  1  0.030
site15 CFKADS2218   75  22.2470  22.2880  2025   22   6   437.33     0.59  0.0261   2072.2     5.45   0.133   155.0    7.7   1.012    2009  1  0.030
site15 CFKADS2218   75  22.2880  22.3300  2025   22   7   438.12     0.85  0.0261   2071.4     5.93   0.133   158.1    7.6   1.012    2009  1  0.030
site15 CFKADS2218   75  22.3300  22.3720  2025   22   8   438.64     0.55  0.0261   2094.7     3.79   0.133   156.1    7.0   1.012    2008  1  0.030
site15 CFKADS2218   75  22.3720  22.4130  2025   22   9   440.26     0.45  0.0261   2091.8     4.60   0.133   160.3    5.5   1.012    2009  1  0.030
site15 CFKADS2218   75  22.4130  22.4550  2025   22  10   439.75     0.48  0.0261   2079.9     2.09   0.133   153.3    5.7   1.012    2008  1  0.030
site15 CFKADS2218   75  22.4550  22.4970  2025   22  11   440.20     0.78  0.0261   2074.7     2.92   0.133   156.8    5.6   1.012    2009  1  0.030
site15 CFKADS2218   75  22.4970  22.5380  2025   22  12   438.98     0.27  0.0261   2070.7     2.27   0.133   153.0    5.5   1.012    2008  1  0.030
site15 CFKADS2218   75  22.5380  22.5800  2025   22  13   438.71     0.29  0.0261   2091.2     4.86   0.133   152.6    5.2   1.012    2009  1  0.030
site15 CFKADS2218   75  22.5800  22.6220  2025   22  14   439.53     0.28  0.0261   2087.2     5.18   0.133   158.1    5.2   1.012    2009  1  0.030
site15 CFKADS2218   75  22.6220  22.6630  2025   22  15   439.74     0.53  0.0261   2072.3     1.69   0.133   159.9    5.4   1.012    2009  1  0.030
site15 CFKADS2218   75  22.6630  22.7050  2025   22  16   439.02     0.26  0.0261   2069.3     1.20   0.133   159.1    5.3   1.012    1604  1  0.030
site15 CFKADS2218   75  22.7050  22.7470  2025   22  17   437.65     0.62  0.0261   2059.0     3.75   0.133   153.0    6.0   1.012    2010  1  0.030
site15 CFKADS2218   75  22.7470  22.7880  2025   22  18   436.07     0.49  0.0261   2051.4     1.97   0.133   144.0    5.6   1.012    2009  1  0.030
site15 CFKADS2218   75  22.7880  22.8300  2025   22  19   435.69     0.37  0.0261   2049.0     0.87   0.133   141.9    5.9   1.012    2009  1  0.030
site15 CFKADS2218   75  22.8300  22.8720  2025   22  20   435.90     0.39  0.0261   2047.8     0.74   0.133   143.4    7.0   1.012    2012  1  0.030
site15 CFKADS2218   75  22.8720  22.9130  2025   22  21   435.94     0.35  0.0261   2047.1     0.56   0.133   141.0    5.6   1.012    2010  1  0.030
site15 CFKADS2218   75  22.9130  22.9550  2025   22  22   436.34     0.36  0.0261   2049.4     1.51   0.133   144.2    5.9   1.012    2010  1  0.030
site15 CFKADS2218   75  22.9550  22.9970  2025   22  23   437.04     0.57  0.0261   2052.4     0.74   0.133   148.3    6.2   1.012    2011  1  0.030
site15 CFKADS2218   75  22.9970  23.0380  2025   23   0   437.00     0.34  0.0256   2050.3     1.00   0.130   145.1    5.8   0.999    2011  1  0.030
site15 CFKADS2218   75  23.0380  23.0800  2025   23   1   435.69     0.53  0.0256   2047.0     3.19   0.130   138.9    6.2   0.999    2010  1  0.030
site15 CFKADS2218   75  23.0800  23.1220  2025   23   2   435.28     0.37  0.0256   2046.7     4.49   0.130   135.5    5.1   0.999    2011  1  0.030
site15 CFKADS2218   75  23.1220  23.1630  2025   23   3   435.52     0.33  0.0256   2051.7     2.48   0.130   138.0    5.1   0.999    2011  1  0.030
site15 CFKADS2218   75  23.1630  23.2050  2025   23   4   435.68     0.22  0.0256   2050.1     2.78   0.130   139.6    5.2   0.999    2010  1  0.030
site15 CFKADS2218   75  23.2050  23.2470  2025   23   5   435.92     0.17  0.0256   2049.4     0.84   0.130   141.1    5.0   0.999    2010  1  0.030
site15 CFKADS2218   75  23.2470  23.2880  2025   23   6   436.26     0.31  0.0256   2052.8     2.18   0.130   141.8    5.0   0.999    2011  1  0.030
site15 CFKADS2218   75  23.2880  23.3300  2025   23   7   436.80     0.17  0.0256   2061.9     4.25   0.130   141.5    5.2   0.999    2011  1  0.030
site15 CFKADS2218   75  23.3300  23.3720  2025   23   8   436.85     0.11  0.0256   2078.2     4.78   0.130   140.3    5.0   0.999    2011  1  0.030
site15 CFKADS2218   75  23.3720  23.4130  2025   23   9   436.83     0.08  0.0256   2091.5     2.75   0.130   140.1    5.0   0.999    2010  1  0.030
site15 CFKADS2218   75  23.4130  23.4550  2025   23  10   437.12     0.28  0.0256   2097.6     1.61   0.130   141.8    5.0   0.999    2011  1  0.030
site15 CFKADS2218   75  23.4550  23.4970  2025   23  11   437.44     0.18  0.0256   2114.3     4.81   0.130   142.8    5.1   0.999    2011  1  0.040
site15 CFKADS2218   75  23.4970  23.5380  2025   23  12   437.33     0.17  0.0256   2118.6     3.37   0.130   141.8    5.2   0.999    2010  1  0.040
site15 CFKADS2218   75  23.5380  23.5800  2025   23  13   437.20     0.20  0.0256   2130.4     2.95   0.130   141.1    5.1   0.999    2011  1  0.040
site15 CFKADS2218   75  23.5800  23.6220  2025   23  14   437.25     0.14  0.0256   2125.5     5.98   0.130   141.2    5.2   0.999    2011  1  0.040
site15 CFKADS2218   75  23.6220  23.6630  2025   23  15   437.59     0.26  0.0256   2103.1     5.55   0.130   142.8    5.9   0.999    1606  1  0.040
site15 CFKADS2218   75  23.6630  23.7050  2025   23  16   437.81     0.14  0.0256   2101.0     1.34   0.130   142.5    5.1   0.999    2012  1  0.040
site15 CFKADS2218   75  23.7050  23.7470  2025   23  17   438.03     0.21  0.0256   2108.1     4.05   0.130   143.5    5.2   0.999    2011  1  0.040
site15 CFKADS2218   75  23.7470  23.7880  2025   23  18   438.77     0.24  0.0256   2111.1     1.22   0.130   145.7    5.4   0.999    2011  1  0.040
site15 CFKADS2218   75  23.7880  23.8300  2025   23  19   438.26     0.52  0.0256   2101.1     3.96   0.130   138.2    5.5   0.999    2012  1  0.040
site15 CFKADS2218   75  23.8300  23.8720  2025   23  20   438.25     0.19  0.0256   2099.1     9.12   0.130   138.9    5.4   0.999    2012  1  0.040
site15 CFKADS2218   75  23.8720  23.9130  2025   23  21   437.27     0.28  0.0256   2076.5     3.22   0.130   137.3    5.5   0.999    2011  1  0.040
site15 CFKADS2218   75  23.9130  23.9550  2025   23  22   438.24     0.77  0.0256   2092.1     7.29   0.130   144.2    5.9   0.999    2012  1  0.040
site15 CFKADS2218   75  23.9550  23.9970  2025   23  23   436.96     0.84  0.0256   2077.8     5.41   0.130   137.6    5.8   0.999    2012  1  0.040
site15 CFKADS2218   75  23.9970  24.0380  2025   24   0   436.05     0.26  0.0255   2078.3     3.25   0.129   137.2    5.2   0.993    2013  1  0.040
site15 CFKADS2218   75  24.0380  24.0800  2025   24   1   435.58     0.19  0.0255   2073.7     3.29   0.129   135.5    5.1   0.993    2011  1  0.040
site15 CFKADS2218   75  24.0800  24.1220  2025   24   2   435.40     0.14  0.0255   2067.9     2.51   0.129   132.9    5.1   0.993    2012  1  0.040
site15 CFKADS2218   75  24.1220  24.1630  2025   24   3   435.90     0.23  0.0255   2066.6     0.56   0.129   133.6    5.1   0.993    2012  1  0.040
site15 CFKADS2218   75  24.1630  24.2050  2025   24   4   436.46     0.18  0.0255   2069.2     1.26   0.129   135.7    5.3   0.993    2011  1  0.040
site15 CFKADS2218   75  24.2050  24.2470  2025   24   5   436.22     0.10  0.0255   2071.0     0.49   0.129   139.4    5.2   0.993    2012  1  0.040
site15 CFKADS2218   75  24.2470  24.2880  2025   24   6   436.27     0.09  0.0255   2072.2     0.31   0.129   142.4    5.2   0.993    2012  1  0.040
site15 CFKADS2218   75  24.2880  24.3300  2025   24   7   436.11     0.08  0.0255   2072.4     1.04   0.129   141.8    5.1   0.993    2012  1  0.040
site15 CFKADS2218   75  24.3300  24.3720  2025   24   8   436.38     0.17  0.0255   2077.8     3.76   0.129   149.4    7.0   0.993    2011  1  0.040
site15 CFKADS2218   75  24.3720  24.4130  2025   24   9   436.79     0.15  0.0255   2083.7     2.14   0.129   148.3    6.5   0.993    2011  1  0.040
site15 CFKADS2218   75  24.4130  24.4550  2025   24  10   436.61     0.40  0.0255   2078.0     2.30   0.129   142.4    6.6   0.993    2010  1  0.030
site15 CFKADS2218   75  24.4550  24.4970  2025   24  11   436.53     1.00  0.0255   2078.5     4.37   0.129   140.6   12.5   0.993    2011  1  0.030
site15 CFKADS2218   75  24.4970  24.5380  2025   24  12   437.08     0.15  0.0255   2086.4     1.32   0.129   141.4    6.2   0.993    2010  1  0.030
site15 CFKADS2218   75  24.5380  24.5800  2025   24  13   437.09     0.24  0.0255   2084.2     1.63   0.129   137.8    5.1   0.993    2010  1  0.030
site15 CFKADS2218   75  24.5800  24.6220  2025   24  14   437.76     0.65  0.0255   2091.3     4.71   0.129   144.1    7.4   0.993    1607  1  0.030
site15 CFKADS2218   75  24.6220  24.6630  2025   24  15   440.93     1.63  0.0255   2097.4     5.95   0.129   161.0    8.5   0.993    2010  1  0.030
site15 CFKADS2218   75  24.6630  24.7050  2025   24  16   439.51     0.95  0.0255   2087.4     5.80   0.129   154.9    7.1   0.993    2011  1  0.040
site15 CFKADS2218   75  24.7050  24.7470  2025   24  17   438.81     0.36  0.0255   2078.0     2.88   0.129   151.5    5.5   0.993    2011  1  0.040
site15 CFKADS2218   75  24.7470  24.7880  2025   24  18   438.08     0.28  0.0255   2068.4     2.03   0.129   147.7    5.7   0.993    2010  1  0.040
site15 CFKADS2218   75  24.7880  24.8300  2025   24  19   438.28     0.67  0.0255   2066.3     1.35   0.129   145.9    5.6   0.993    2011  1  0.040
site15 CFKADS2218   75  24.8300  24.8720  2025   24  20   440.09     0.56  0.0255   2094.1    15.27   0.129   147.9    5.9   0.993    2010  1  0.040
site15 CFKADS2218   75  24.8720  24.9130  2025   24  21   439.27     1.32  0.0255   2061.4     5.05   0.129   150.1    7.5   0.993    2012  1  0.040
site15 CFKADS2218   75  24.9130  24.9550  2025   24  22   435.74     0.43  0.0255   2057.1     1.01   0.129   142.4    6.0   0.993    2011  1  0.040
site15 CFKADS2218   75  24.9550  24.9970  2025   24  23   437.54     1.43  0.0255   2062.7     2.22   0.129   149.2    5.8   0.993    2012  1  0.040
site15 CFKADS2218   75  24.9970  25.0380  2025   25   0   437.42     0.83  0.0261   2092.1     5.45   0.131   140.3    5.8   1.017    2011  1  0.030
site15 CFKADS2218   75  25.0380  25.0800  2025   25   1   436.84     0.49  0.0261   2087.4     6.16   0.131   141.4    5.3   1.017    2011  1  0.030
site15 CFKADS2218   75  25.0800  25.1220  2025   25   2   438.60     0.36  0.0261   2079.5     3.13   0.131   147.9    5.6   1.017    2011  1  0.030
site15 CFKADS2218   75  25.1220  25.1630  2025   25   3   438.02     0.32  0.0261   2080.2     3.41   0.131   148.1    5.5   1.017    2012  1  0.030
site15 CFKADS2218   75  25.1630  25.2050  2025   25   4   438.05     0.31  0.0261   2080.0     0.75   0.131   151.0    5.7   1.017    2012  1  0.030
site15 CFKADS2218   75  25.2050  25.2470  2025   25   5   437.53     0.30  0.0261   2080.5     1.99   0.131   151.4    5.2   1.017    2011  1  0.030
site15 CFKADS2218   75  25.2470  25.2880  2025   25   6   438.16     0.40  0.0261   2080.1     2.10   0.131   149.6    5.3   1.017    2011  1  0.040
site15 CFKADS2218   75  25.2880  25.3300  2025   25   7   439.00     0.15  0.0261   2075.5     1.20   0.131   151.7    5.2   1.017    2012  1  0.040
site15 CFKADS2218   75  25.3300  25.3720  2025   25   8   439.14     0.17  0.0261   2071.1     1.03   0.131   152.7    5.2   1.017    2012  1  0.040
site15 CFKADS2218   75  25.3720  25.4130  2025   25   9   438.96     0.16  0.0261   2070.0     0.75   0.131   149.0    5.2   1.017    2011  1  0.040
site15 CFKADS2218   75  25.4130  25.4550  2025   25  10   438.80     0.25  0.0261   2069.6     0.27   0.131   146.1    5.1   1.017    2011  1  0.040
site15 CFKADS2218   75  25.4550  25.4970  2025   25  11   438.68     0.16  0.0261   2073.1     2.54   0.131   144.0    5.1   1.017    2013  1  0.040
site15 CFKADS2218   75  25.4970  25.5380  2025   25  12   438.56     0.14  0.0261   2081.8     2.16   0.131   147.2    5.4   1.017    2012  1  0.040
site15 CFKADS2218   75  25.5380  25.5800  2025   25  13   438.57     0.14  0.0261   2086.9     1.41   0.131   146.7    5.1   1.017    1606  1  0.040
site15 CFKADS2218   75  25.5800  25.6220  2025   25  14   438.80     0.16  0.0261   2091.0     0.66   0.131   148.2    5.3   1.017    2012  1  0.040
site15 CFKADS2218   75  25.6220  25.6630  2025   25  15   438.98     0.16  0.0261   2092.8     1.46   0.131   148.8    5.1   1.017    2011  1  0.040
site15 CFKADS2218   75  25.6630  25.7050  2025   25  16   439.12     0.20  0.0261   2097.4     1.29   0.131   147.7    5.2   1.017    2013  1  0.040
site15 CFKADS2218   75  25.7050  25.7470  2025   25  17   438.78     0.15  0.0261   2101.7     1.03   0.131   147.3    5.3   1.017    2012  1  0.040
site15 CFKADS2218   75  25.7470  25.7880  2025   25  18   438.64     0.12  0.0261   2104.2     1.04   0.131   149.7    5.8   1.017    2012  1  0.040
site15 CFKADS2218   75  25.7880  25.8300  2025   25  19   438.54     0.36  0.0261   2108.7     1.42   0.131   152.5    6.5   1.017    2012  1  0.040
site15 CFKADS2218   75  25.8300  25.8720  2025   25  20   438.09     0.25  0.0261   2109.9     1.02   0.131   148.3    5.4   1.017    2013  1  0.040
site15 CFKADS2218   75  25.8720  25.9130  2025   25  21   438.32     0.18  0.0261   2109.6     0.50   0.131   148.4    5.4   1.017    2012  1  0.040
site15 CFKADS2218   75  25.9130  25.9550  2025   25  22   438.84     0.19  0.0261   2111.7     0.86   0.131   148.9    5.3   1.017    2011  1  0.040
site15 CFKADS2218   75  25.9550  25.9970  2025   25  23   439.11     0.23  0.0261   2107.2     2.87   0.131   148.9    5.4   1.017    2010  1  0.040
site15 CFKADS2218   75  25.9970  26.0380  2025   26   0   439.92     0.30  0.0260   2107.1     2.84   0.131   151.9    5.3   1.024    2012  1  0.040
site15 CFKADS2218   75  26.0380  26.0800  2025   26   1   439.11     0.57  0.0260   2116.3     2.18   0.131   153.5    5.5   1.024    2008  1  0.040
site15 CFKADS2218   75  26.0800  26.1220  2025   26   2   437.92     0.21  0.0260   2111.9     3.99   0.131   155.8    5.2   1.024    2010  1  0.040
site15 CFKADS2218   75  26.1220  26.1630  2025   26   3   438.27     0.64  0.0260   2118.7     4.51   0.131   156.6    6.9   1.024    2011  1  0.040
site15 CFKADS2218   75  26.1630  26.2050  2025   26   4   441.14     0.50  0.0260   2110.2     5.02   0.131   169.3    5.7   1.024    2012  1  0.040
site15 CFKADS2218   75  26.2050  26.2470  2025   26   5   441.22     0.62  0.0260   2099.2     1.52   0.131   169.2    5.7   1.024    2011  1  0.040
site15 CFKADS2218   75  26.2470  26.2880  2025   26   6   439.19     0.43  0.0260   2091.0     3.81   0.131   160.4    5.7   1.024    2012  1  0.040
site15 CFKADS2218   75  26.2880  26.3300  2025   26   7   437.35     0.58  0.0260   2076.2     4.50   0.131   144.3    7.8   1.024    2011  1  0.040
site15 CFKADS2218   75  26.3300  26.3720  2025   26   8   436.01     0.74  0.0260   2065.4     6.98   0.131   135.4    6.3   1.024    2012  1  0.040
site15 CFKADS2218   75  26.3720  26.4130  2025   26   9   433.89     0.72  0.0260   2045.7     5.94   0.131   124.1    5.9   1.024    2012  1  0.040
site15 CFKADS2218   75  26.4130  26.4550  2025   26  10   433.42     0.10  0.0260   2042.4     0.95   0.131   120.5    5.1   1.024    2012  1  0.040
site15 CFKADS2218   75  26.4550  26.4970  2025   26  11   433.37     0.08  0.0260   2039.5     0.86   0.131   120.2    5.2   1.024    2011  1  0.040
site15 CFKADS2218   75  26.4970  26.5380  2025   26  12   433.63     0.42  0.0260   2039.7     3.12   0.131   131.9   19.9   1.024    1605  1  0.040
site15 CFKADS2218   75  26.5380  26.5800  2025   26  13   433.25     0.07  0.0260   2036.3     1.49   0.131   119.5    5.6   1.024    2012  1  0.040
site15 CFKADS2218   75  26.5800  26.6220  2025   26  14   433.25     0.13  0.0260   2036.9     3.20   0.131   119.7    6.8   1.024    2012  1  0.040
site15 CFKADS2218   75  26.6220  26.6630  2025   26  15   433.41     0.15  0.0260   2043.0     1.19   0.131   122.8    7.7   1.024    2012  1  0.040
site15 CFKADS2218   75  26.6630  26.7050  2025   26  16   433.41     0.16  0.0260   2042.7     1.62   0.131   120.4    5.7   1.024    2013  1  0.040
site15 CFKADS2218   75  26.7050  26.7470  2025   26  17   433.44     0.11  0.0260   2035.5     1.13   0.131   120.4    5.1   1.024    2012  1  0.040
site15 CFKADS2218   75  26.7470  26.7880  2025   26  18   433.28     0.13  0.0260   2034.1     0.76   0.131   121.5    5.2   1.024    2012  1  0.040
site15 CFKADS2218   75  26.7880  26.8300  2025   26  19   433.22     0.10  0.0260   2033.8     0.80   0.131   124.2    6.3   1.024    2013  1  0.040
site15 CFKADS2218   75  26.8300  26.8720  2025   26  20   433.15     0.16  0.0260   2034.5     1.75   0.131   129.5   10.7   1.024    2013  1  0.040
site15 CFKADS2218   75  26.8720  26.9130  2025   26  21   433.25     0.24  0.0260   2034.5     2.67   0.131   140.1   17.9   1.024    2013  1  0.040
site15 CFKADS2218   75  26.9130  26.9550  2025   26  22   432.99     0.14  0.0260   2032.8     3.29   0.131   133.3   16.3   1.024    2012  1  0.040
site15 CFKADS2218   75  26.9550  26.9970  2025   26  23   432.87     0.07  0.0260   2029.2     0.49   0.131   120.4    5.3   1.024    2012  1  0.040
site15 CFKADS2218   75  26.9970  27.0380  2025   27   0   433.45     0.77  0.0257   2031.6     1.23   0.129   120.8    5.1   0.989    2012  1  0.040
site15 CFKADS2218   75  27.0380  27.0800  2025   27   1   437.76     1.28  0.0257   2040.3     2.67   0.129   134.8   13.3   0.989    2012  1  0.040
site15 CFKADS2218   75  27.0800  27.1220  2025   27   2   434.69     0.23  0.0257   2036.8     1.17   0.129   129.7    5.6   0.989    2011  1  0.040
site15 CFKADS2218   75  27.1220  27.1630  2025   27   3   434.35     0.18  0.0257   2036.3     0.59   0.129   128.4    5.4   0.989    2012  1  0.040
site15 CFKADS2218   75  27.1630  27.2050  2025   27   4   434.23     0.13  0.0257   2035.1     0.64   0.129   124.7    5.2   0.989    2012  1  0.040
site15 CFKADS2218   75  27.2050  27.2470  2025   27   5   434.98     0.65  0.0257   2041.3     2.99   0.129   126.6    5.4   0.989    2010  1  0.040
site15 CFKADS2218   75  27.2470  27.2880  2025   27   6   436.15     0.09  0.0257   2046.8     1.62   0.129   130.9    5.2   0.989    2011  1  0.040
site15 CFKADS2218   75  27.2880  27.3300  2025   27   7   436.11     0.11  0.0257   2043.9     0.55   0.129   131.0    5.2   0.989    2012  1  0.040
